day,hour,ip,graph_type,colormap,marker,size,score
20170620,15:54:00,177.139.217.186,linearDecrease,GnBu,o,300,-1
20170620,15:54:00,177.139.217.186,linearDecrease,GnBu,^,300,1
20170620,15:54:17,177.139.217.186,constant,GnBu,o,100,1
20170620,15:54:17,177.139.217.186,constant,Greys,o,100,-1
20170620,15:54:29,177.139.217.186,linearDecrease,GnBu,v,300,1
20170620,15:54:29,177.139.217.186,linearDecrease,GnBu,o,300,-1
20170620,15:54:35,177.139.217.186,constant,YlOrRd,v,300,1
20170620,15:54:35,177.139.217.186,constant,Greys,v,300,-1
20170620,15:54:45,177.139.217.186,constant,YlOrRd,o,300,-1
20170620,15:54:45,177.139.217.186,constant,YlOrRd,v,300,1
20170620,15:54:50,177.139.217.186,linearDecrease,Greys,o,750,-1
20170620,15:54:50,177.139.217.186,linearDecrease,Greys,o,300,1
20170620,15:54:53,177.139.217.186,linearDecrease,YlOrRd,o,750,-1
20170620,15:54:53,177.139.217.186,linearDecrease,YlOrRd,^,750,1
20170620,15:54:56,177.139.217.186,constant,YlOrRd,^,750,-1
20170620,15:54:56,177.139.217.186,constant,YlOrRd,^,300,1
20170620,15:54:59,177.139.217.186,linearDecrease,GnBu,o,300,-1
20170620,15:54:59,177.139.217.186,linearDecrease,GnBu,^,300,1
20170620,15:55:07,177.139.217.186,linearDecrease,GnBu,v,100,1
20170620,15:55:07,177.139.217.186,linearDecrease,Greys,v,100,-1
20170620,15:55:11,177.139.217.186,linearIncrease,GnBu,o,750,-1
20170620,15:55:11,177.139.217.186,linearIncrease,GnBu,^,750,1
20170620,15:55:15,177.139.217.186,linearIncrease,Greys,o,300,1
20170620,15:55:15,177.139.217.186,linearIncrease,Greys,o,750,-1
20170620,15:57:51,177.139.217.186,linearDecrease,GnBu,v,100,1
20170620,15:57:51,177.139.217.186,linearDecrease,GnBu,v,300,-1
20170620,15:58:02,177.139.217.186,linearIncrease,Greys,v,750,-1
20170620,15:58:02,177.139.217.186,linearIncrease,YlOrRd,v,750,1
20170620,15:58:10,177.139.217.186,linearIncrease,GnBu,^,300,1
20170620,15:58:10,177.139.217.186,linearIncrease,GnBu,o,300,-1
20170620,15:58:21,177.139.217.186,linearIncrease,YlOrRd,^,300,-1
20170620,15:58:21,177.139.217.186,linearIncrease,YlOrRd,v,300,1
20170620,15:58:30,177.139.217.186,linearDecrease,Greys,v,100,1
20170620,15:58:30,177.139.217.186,linearDecrease,GnBu,v,100,-1
20170620,15:58:38,177.139.217.186,linearIncrease,YlOrRd,^,750,-1
20170620,15:58:38,177.139.217.186,linearIncrease,Greys,^,750,1
20170620,15:58:58,177.139.217.186,linearDecrease,YlOrRd,^,300,-1
20170620,15:58:58,177.139.217.186,linearDecrease,GnBu,^,300,1
20170620,15:59:03,177.139.217.186,linearDecrease,GnBu,^,300,1
20170620,15:59:03,177.139.217.186,linearDecrease,GnBu,o,300,-1
20170620,15:59:11,177.139.217.186,linearIncrease,GnBu,v,300,-1
20170620,15:59:11,177.139.217.186,linearIncrease,GnBu,v,100,1
20170620,15:59:17,177.139.217.186,linearIncrease,Greys,o,100,1
20170620,15:59:17,177.139.217.186,linearIncrease,Greys,o,750,-1
20170620,15:59:27,177.139.217.186,linearIncrease,GnBu,^,300,-1
20170620,15:59:27,177.139.217.186,linearIncrease,GnBu,^,100,1
20170620,15:59:31,177.139.217.186,linearDecrease,YlOrRd,o,750,1
20170620,15:59:31,177.139.217.186,linearDecrease,GnBu,o,750,-1
20170620,15:59:36,177.139.217.186,constant,GnBu,^,750,1
20170620,15:59:36,177.139.217.186,constant,GnBu,o,750,-1
20170620,15:59:40,177.139.217.186,linearIncrease,Greys,o,300,1
20170620,15:59:40,177.139.217.186,linearIncrease,Greys,o,750,-1
20170620,15:59:47,177.139.217.186,linearDecrease,GnBu,o,750,1
20170620,15:59:47,177.139.217.186,linearDecrease,GnBu,v,750,-1
20170620,15:59:50,177.139.217.186,linearDecrease,Greys,o,750,1
20170620,15:59:50,177.139.217.186,linearDecrease,Greys,o,100,-1
20170620,15:59:54,177.139.217.186,linearDecrease,YlOrRd,o,300,-1
20170620,15:59:54,177.139.217.186,linearDecrease,YlOrRd,o,750,1
20170620,16:00:01,177.139.217.186,linearIncrease,YlOrRd,^,100,-1
20170620,16:00:01,177.139.217.186,linearIncrease,YlOrRd,o,100,1
20170620,16:00:04,177.139.217.186,linearDecrease,Greys,o,100,1
20170620,16:00:04,177.139.217.186,linearDecrease,Greys,o,750,-1
20170620,16:00:08,177.139.217.186,linearDecrease,YlOrRd,^,300,-1
20170620,16:00:08,177.139.217.186,linearDecrease,YlOrRd,^,100,1
20170620,16:01:03,177.139.217.186,linearIncrease,Greys,v,300,-1
20170620,16:01:03,177.139.217.186,linearIncrease,GnBu,v,300,1
20170620,16:01:07,177.139.217.186,linearDecrease,Greys,o,750,-1
20170620,16:01:07,177.139.217.186,linearDecrease,Greys,o,100,1
20170620,16:01:11,177.139.217.186,linearIncrease,YlOrRd,^,750,-1
20170620,16:01:11,177.139.217.186,linearIncrease,GnBu,^,750,1
20170620,16:01:15,177.139.217.186,linearDecrease,YlOrRd,^,750,-1
20170620,16:01:15,177.139.217.186,linearDecrease,GnBu,^,750,1
